         1107221 function calls (1078620 primitive calls) in 47.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/indexes/base.py:6576(_maybe_cast_listlike_indexer)
      575    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_base.py:1331(<lambda>)
      171    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:45(_instancecheck)
       94    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tempfile.py:1007(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tempfile.py:1010(cleanup)
        1    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/series.py:3194(_construct_result)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
        2    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/frame.py:4274(_get_item_cache)
        7    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/_config/config.py:262(__call__)
        3    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/series.py:342(__init__)
        1    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_construct.py:229(eye)
       54    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_sputils.py:238(isshape)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tempfile.py:965(_rmtree)
        2    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/frame.py:3703(_ixs)
        7    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/_config/config.py:134(_get_option)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/shutil.py:688(rmtree)
        2    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/indexing.py:2488(convert_to_index_sliceable)
        4    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/numpy/core/numeric.py:1393(moveaxis)
      310    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {method 'format_map' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/reshape/concat.py:638(_get_comb_axis)
        8    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/indexes/base.py:588(_dtype_to_subclass)
        1    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/indexes/api.py:78(get_objs_combined_axis)
        2    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/numpy/lib/function_base.py:5368(insert)
        1    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/loguru/_datetime.py:13(__format__)
        1    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/pandas/core/indexes/api.py:122(_get_combined_index)
      298    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_base.py:296(format)
        1    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_construct.py:26(spdiags)
      103    0.000    0.000    0.000    0.000 /home/soeren/mesh2vec/.venv/lib/python3.10/site-packages/scipy/sparse/_sputils.py:93(to_native)
        2    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
